classnum blue green red nir swir1 swir2 BUI BSI NBI EVI NDWI MSAVI sdev edev bcdev
112.0000 566.7999 825.4042 1088.9531 2428.9773 2937.3710 1934.0353 -0.2874 0.1460 1.6591 0.2280 -0.4930 0.2102 0.0097 0.0919 0.0854
112.0000 488.1929 703.4721 880.0575 2133.1861 2246.3401 1688.9086 -0.3894 0.0879 1.4686 0.2276 -0.5035 0.2051 0.0049 0.0557 0.0666
111.0000 660.3233 937.3869 1283.4865 2423.1869 3716.7363 2522.5151 -0.0968 0.2371 2.0654 0.1878 -0.4420 0.1739 0.0019 0.0472 0.0415
111.0000 908.1444 1283.0451 1781.6331 3187.0842 4347.0902 2980.4331 -0.1294 0.1989 1.9236 0.2061 -0.4263 0.1949 0.0022 0.0946 0.0683
111.0000 663.8331 985.9040 1402.2947 2866.3767 3934.8028 2684.4926 -0.1859 0.2039 1.8656 0.2246 -0.4881 0.2156 0.0039 0.0780 0.0626
112.0000 512.5098 773.5401 946.6142 2793.3858 2437.5749 1376.9622 -0.5610 0.0115 1.2187 0.3154 -0.5657 0.2913 0.0044 0.0570 0.0638
111.0000 818.2805 1190.0907 1646.0227 3072.6176 3989.9348 2773.2635 -0.1726 0.1830 1.8361 0.2124 -0.4414 0.2020 0.0036 0.0991 0.0753
111.0000 596.2691 902.6172 1185.6357 2793.8376 2448.1578 1812.9188 -0.4708 0.0340 1.3027 0.2606 -0.5115 0.2448 0.0138 0.1197 0.1238
111.0000 537.5633 847.7831 960.5843 2880.8193 2293.4247 1547.0181 -0.6136 -0.0255 1.1323 0.3285 -0.5446 0.3012 0.0238 0.1252 0.1290
112.0000 525.6484 744.1032 1001.2564 2296.0934 2981.9768 1800.5281 -0.2629 0.1706 1.7360 0.2254 -0.5105 0.2068 0.0015 0.0393 0.0415
112.0000 487.5398 733.1677 815.2992 2698.5950 2012.4471 1102.0226 -0.6820 -0.0602 1.0496 0.3381 -0.5726 0.3052 0.0024 0.0430 0.0565
111.0000 777.1256 1099.8595 1551.0512 2786.8612 4426.8116 3105.9901 -0.0576 0.2532 2.1470 0.1899 -0.4341 0.1793 0.0007 0.0507 0.0374
111.0000 602.5393 857.4644 1184.6325 2366.7212 3569.4945 2525.2852 -0.1303 0.2311 2.0104 0.1976 -0.4680 0.1832 0.0015 0.0582 0.0552
111.0000 666.4115 899.8338 1250.6989 2276.3803 3994.7761 2784.1408 -0.0166 0.2813 2.3064 0.1734 -0.4333 0.1581 0.0008 0.0368 0.0321
112.0000 676.8665 1000.0904 1393.3586 2849.2796 3601.7748 2313.7780 -0.2277 0.1716 1.7560 0.2259 -0.4805 0.2151 0.0011 0.0482 0.0419
112.0000 488.0921 720.0589 826.0239 2423.5506 2071.1440 1247.1050 -0.5705 -0.0030 1.1968 0.2912 -0.5418 0.2612 0.0017 0.0342 0.0459
112.0000 699.1144 984.3347 1261.3841 2353.2718 2452.6569 1690.5635 -0.2820 0.0974 1.5797 0.1860 -0.4102 0.1676 0.0021 0.0587 0.0680
