classnum blue green red nir swir1 swir2 NDVI MNDWI BAI BUI BSI TCG TCW TCB NDMI LAI EVI AWEI_sh BAEI NDSI SAVI NBR sdev edev bcdev BS_PC_10 PV_PC_10 NPV_PC_10 BS_PC_50 PV_PC_50 NPV_PC_50 BS_PC_90 PV_PC_90 NPV_PC_90 chirps1 chirps2 chirps x_coord y_coord binary_class
228.0 377.5 627.0 506.0 702.0 385.0 196.0 0.174131 0.23375 372.276659 -0.42232 -0.090928 0.005149 0.002408 0.109577 0.28476 0.063279 0.050105000000000004 0.0131 3.476875 0.23375 0.052128999999999995 0.5663600000000001 0.0097 0.030824 0.119199 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 970.020874 310.114868 1280.135742 1500435.0 -2109465.0 0
111.0 914.0 1459.0 1803.0 2931.0 4284.0 3366.0 0.238581 -0.49273100000000003 16.377696 -0.039798 0.225958 0.035894 -0.362703 0.404003 -0.19345199999999999 0.486997 0.167219 -0.715275 0.8377450000000001 -0.49273100000000003 0.17656 -0.073386 0.001395 0.078708 0.054333000000000006 6.0 5.0 26.0 36.0 22.0 44.0 57.0 46.0 58.0 867.489441 280.178009 1147.65564 1508850.0 -2123040.0 1
111.0 366.0 637.5 610.0 3847.5 1304.0 815.0 0.72205 -0.350489 9.353717999999999 -1.210907 -0.368858 0.23705199999999998 -0.044804000000000004 0.312681 0.48795600000000006 1.840275 0.541259 -0.596713 1.854811 -0.350489 0.507626 0.64785 0.0009130000000000001 0.031822 0.040229 0.0 50.0 20.0 1.0 58.0 36.0 18.0 70.0 46.0 868.1648560000001 280.320831 1148.484741 1508625.0 -2123385.0 1
111.0 755.0 1210.0 1492.0 2823.0 4210.0 3310.0 0.294825 -0.546517 19.265701999999997 -0.095725 0.23256300000000002 0.052006 -0.37128 0.364738 -0.197844 0.598383 0.198005 -0.751737 0.831197 -0.546517 0.20650900000000003 -0.085037 0.003386 0.084221 0.054701 7.0 7.5 6.0 25.0 22.5 36.5 47.0 67.5 51.0 869.146301 280.61090099999996 1149.757202 1508490.0 -2122995.0 1
111.0 450.5 754.0 743.0 3751.0 1568.0 947.0 0.662048 -0.329982 9.976229 -1.105 -0.31094499999999997 0.22267199999999998 -0.060733 0.321851 0.436079 1.744525 0.514794 -0.5841 1.6371799999999999 -0.329982 0.48085 0.606079 0.002393 0.050049 0.058651999999999996 0.0 51.0 15.0 14.0 58.0 29.0 28.0 66.0 39.0 865.919678 279.578735 1145.498535 1509150.0 -2123820.0 1
228.0 849.0 1429.5 1140.5 1343.5 891.0 537.5 -0.022465 0.187625 169.171148 -0.15548199999999998 -0.006108 -0.030682 -0.009347 0.221191 0.17663800000000002 -0.15597 -0.010495 0.106425 1.780487 0.187625 -0.010235 0.401537 0.007534999999999999 0.045538999999999996 0.06648 0.0 0.0 7.5 0.0 10.5 36.0 7.0 15.0 48.0 857.889282 277.86377000000005 1135.75293 1510890.0 -2123250.0 0
111.0 452.5 746.0 713.5 4537.0 1433.5 846.5 0.730639 -0.31855700000000003 6.399699 -1.255563 -0.403428 0.286901 -0.037354000000000005 0.363352 0.524436 2.1478490000000003 0.626271 -0.68515 1.6989470000000002 -0.31855700000000003 0.562858 0.687936 0.000732 0.036468 0.038623000000000005 0.0 53.5 20.0 2.0 59.0 32.0 17.5 69.0 42.0 865.351685 279.424347 1144.776123 1509225.0 -2123790.0 1
111.0 948.0 1581.5 1864.0 3264.5 3956.5 2931.0 0.275237 -0.430148 12.84108 -0.17135799999999998 0.164648 0.063387 -0.306715 0.432622 -0.10913099999999999 0.612486 0.201903 -0.6671630000000001 0.87777 -0.430148 0.20642800000000003 0.047081 0.001375 0.055920000000000004 0.041732 0.0 12.0 10.0 27.0 29.5 28.0 49.5 82.5 52.0 867.088318 279.92926 1147.017578 1508760.0 -2123910.0 1
111.0 458.0 799.0 816.0 3751.0 1639.0 1073.0 0.6375 -0.365897 10.006179 -1.027507 -0.26827 0.20986799999999997 -0.078401 0.325166 0.384899 1.629521 0.48300699999999996 -0.587725 1.570894 -0.365897 0.460045 0.560606 0.005563 0.059889 0.069869 0.0 44.0 20.0 15.0 57.0 30.0 22.0 65.0 42.0 867.347107 280.009674 1147.356812 1508685.0 -2123985.0 1
111.0 402.0 675.0 664.5 4175.0 1420.0 915.0 0.724946 -0.368062 7.785869 -1.211051 -0.368209 0.254575 -0.051434 0.344213 0.488018 1.9380220000000001 0.568276 -0.66615 1.749275 -0.368062 0.526506 0.632953 0.002838 0.062486 0.066024 0.0 49.0 11.5 0.0 53.0 39.0 23.0 64.0 50.0 872.746033 282.76367200000004 1155.5158689999998 1506165.0 -2124825.0 1
111.0 341.0 608.0 560.0 3839.0 1230.0 708.0 0.744681 -0.344394 9.348247 -1.261884 -0.40176799999999996 0.245123 -0.033815 0.303775 0.5161979999999999 1.9190049999999998 0.56302 -0.59625 1.952145 -0.344394 0.523874 0.690578 0.0013460000000000002 0.032666 0.048468000000000004 0.0 53.0 14.0 0.0 61.0 34.0 27.0 75.0 43.0 865.1021119999999 279.24703999999997 1144.335083 1509270.0 -2124045.0 1
111.0 344.0 560.0 554.0 3954.0 1220.0 751.0 0.75363 -0.36891 8.739345 -1.281511 -0.41457700000000003 0.2542 -0.035384 0.30885 0.528844 1.965919 0.575986 -0.61815 1.996043 -0.36891 0.5362359999999999 0.681952 0.000541 0.026387999999999998 0.035084 0.0 51.0 31.0 0.0 55.0 42.0 1.0 63.0 48.0 866.982361 279.766327 1146.74707 1508520.0 -2124945.0 1
111.0 388.5 672.5 629.0 3547.0 1831.5 959.5 0.687172 -0.463262 11.297839 -1.030456 -0.232106 0.20877300000000001 -0.094527 0.30904 0.311692 1.7148419999999998 0.50659 -0.607225 1.4659389999999999 -0.463262 0.47346099999999997 0.563241 0.00225 0.03257 0.042776999999999996 0.0 53.5 16.0 4.0 61.0 26.0 21.5 71.5 38.0 865.638428 279.414337 1145.0527339999999 1509120.0 -2124075.0 1
111.0 390.0 653.0 662.0 4471.0 1374.0 851.0 0.741348 -0.359122 6.625928 -1.275892 -0.414754 0.283588 -0.038382 0.351829 0.5399510000000001 2.083176 0.608396 -0.69865 1.814634 -0.359122 0.558276 0.68257 0.0006580000000000001 0.033174 0.03938 0.0 50.0 30.0 0.0 56.0 40.0 2.0 66.0 48.0 869.9381710000001 281.33371 1151.262817 1507260.0 -2124975.0 1
