,blue,green,red,nir,swir1,swir2,sdev,edev,bcdev,NDVI,MNDWI,BAI,BUI,BSI,TCG,TCW,TCB,NDMI,LAI,EVI,AWEI_sh,BAEI,NDSI,SAVI,NBR,pv_pc_10,pv_pc_50,pv_pc_90,bs_pc_10,bs_pc_50,bs_pc_90,npv_pc_10,npv_pc_50,npv_pc_90,qa,time,binary_class
2712,249.0,411.0,419.0,1599.0,1216.0,695.0,0.0078013371676206,628.88330078125,0.1394293457269668,0.5804263565891472,-0.4982078853046594,75.34426679103494,-0.706338550683673,-0.0534258979776638,0.07934777,-0.07787922,0.15945892,0.1274934952298352,0.7464414168937328,0.2389279759241937,-0.3127,2.105425400739827,-0.4982078853046594,0.2500362686783694,0.3832424392662369,41.0,50.0,62.0,3.0,6.0,16.0,26.0,41.0,52.0,2.0,2010.0,0
2713,352.5,553.5,608.5,1876.0,1907.5,1283.0,0.0012263231910765,345.0116577148437,0.0539998859167099,0.4997872340425532,-0.5463278534203617,56.65923075517949,-0.4877642823659897,0.064117135462127,0.07803622,-0.14781,0.2022367,-0.0149979534115558,0.7595797941305794,0.2425593681952955,-0.4228749999999999,1.467552631578947,-0.5463278534203617,0.2500803420012684,0.1863850119486823,39.0,45.0,54.0,4.0,8.0,14.0,35.0,45.0,50.0,2.0,2010.0,0
2714,277.5,440.0,462.0,1812.5,1213.0,670.5,0.0037776683457195,340.4808959960937,0.069482073187828,0.5934677568197649,-0.4811281228947729,56.84423555276172,-0.8132498611755077,-0.1198780517067162,0.095204875,-0.069097925,0.175811545,0.2137544510002924,0.8558315170222618,0.2691629400282647,-0.3433874999999999,2.0998051446442982,-0.4811281228947729,0.2783104947114891,0.4716342319067685,49.0,55.0,67.0,3.0,7.0,14.0,22.0,36.0,43.0,2.0,2010.0,0
2715,387.5,575.0,649.5,1799.0,2068.0,1404.5,0.0016686236485838,316.80743408203125,0.041310615837574,0.4649074172126529,-0.5627025068830603,64.24119792420001,-0.3947320784457288,0.1095008573166024,0.067551135,-0.16439843,0.202832515,-0.0710164160845057,0.6888503730615329,0.2230100533613966,-0.4315875,1.3825173990853052,-0.5627025068830603,0.2298704085399045,0.1241556723420154,36.0,40.0,47.0,5.0,9.0,14.0,42.0,49.0,52.0,2.0,2010.0,0
2716,354.0,579.0,591.0,2317.0,1823.0,1087.0,0.008100795559585,532.111328125,0.0737114399671554,0.5994856959177114,-0.5210270030987162,31.68142176082807,-0.7388042240952535,-0.0669866026794641,0.12223149,-0.11968593,0.22585496,0.1353211009174312,1.1113636816110877,0.3397909567747616,-0.471475,1.4983361064891845,-0.5210270030987162,0.3376217836622533,0.3812122953174374,41.0,53.0,62.0,4.0,8.0,12.0,27.0,39.0,54.0,2.0,2010.0,0
2717,398.0,588.5,666.0,1907.5,2031.0,1365.5,0.002013046760112,377.33349609375,0.0492105782032012,0.4796313989741526,-0.5494056135516577,54.92866055160789,-0.4472530915370518,0.0812885762813076,0.075047325,-0.1573536199999999,0.211456295,-0.0338043831848867,0.7409292603159832,0.2374044390038648,-0.4390499999999999,1.3998466550249504,-0.5494056135516577,0.2437313804496619,0.1618064404728694,38.0,42.0,49.0,5.0,9.0,15.0,40.0,47.0,50.0,2.0,2010.0,0
2718,373.0,560.0,634.0,1848.0,1975.0,1293.0,0.0016508628614246,300.2032165527344,0.0437234193086624,0.4893797790994053,-0.55701394585726,58.90710820293263,-0.4592303161678537,0.0795432552738533,0.07575226,-0.1513697499999999,0.20368115,-0.0294046172539489,0.7389056835166519,0.2368451308780132,-0.4277999999999999,1.4357476635514017,-0.55701394585726,0.2446524064171123,0.1782594629569718,38.0,43.0,48.0,5.0,8.0,14.0,40.0,47.0,50.0,2.0,2010.0,0
2719,336.0,520.0,553.0,1894.0,1575.0,944.0,0.0029290844686329,316.0286560058594,0.0494148358702659,0.5457178320231691,-0.5023651844843897,53.40724896590214,-0.6350996412123002,-0.0223478037503209,0.08882887,-0.1057765,0.19498203,0.0926378701439826,0.8310835357730584,0.2623227019826032,-0.381975,1.6957142857142855,-0.5023651844843897,0.2684801497126053,0.3318233295583239,44.0,49.0,60.0,4.0,9.0,17.0,26.0,40.0,48.0,2.0,2010.0,0
2720,402.0,595.0,664.5,1791.0,2099.0,1410.0,0.0016924466472119,334.1102905273437,0.0459723807871341,0.4574010587893913,-0.5593403460647646,65.14170180653176,-0.3746425090632175,0.1170762412617831,0.065375835,-0.16677414,0.20548841,-0.0817817801368324,0.6770683890974406,0.2197535624923827,-0.430025,1.3605149870872295,-0.5593403460647646,0.2258208279086479,0.1165513006142231,35.0,40.0,53.0,5.0,10.0,17.0,35.0,49.0,53.0,2.0,2010.0,0
2721,348.0,534.0,577.0,1756.0,1698.0,1068.0,0.0031080804765224,356.3217163085937,0.0539048165082931,0.5051461506792918,-0.5225988700564972,65.53543763254541,-0.5226679587046551,0.0387096774193549,0.07454718,-0.12291834,0.19092857,0.0180921052631578,0.7266720156555773,0.2334637964774951,-0.3768249999999999,1.6024478694469628,-0.5225988700564972,0.2408210269611163,0.2411067193675889,39.0,45.0,55.0,5.0,9.0,18.0,30.0,45.0,52.0,2.0,2010.0,0
2722,289.0,443.0,483.0,1464.0,1580.0,972.0,0.0025349603965878,377.2242736816406,0.065642699599266,0.5066803699897225,-0.5586945932781295,98.93447569674603,-0.4729913883475597,0.0773993808049535,0.06046126,-0.11843398,0.1626107,-0.0341207349081364,0.606583466581388,0.2002718260313399,-0.344125,1.722689075630252,-0.5586945932781295,0.2107578768095373,0.205469046714774,37.0,46.0,62.0,4.0,7.0,20.0,21.0,46.0,56.0,2.0,2010.0,0
2723,290.0,429.5,457.5,1339.5,1538.0,970.5,0.0037548653781414,672.1246337890625,0.1237298548221588,0.4901347525292955,-0.5581882062671817,119.07889388642369,-0.4324721627207978,0.0958046295855987,0.053506555,-0.11794268,0.151813205,-0.0615275462479424,0.5516670256992853,0.1850931524873646,-0.320125,1.7585058333120536,-0.5581882062671817,0.1946188085990239,0.1665011091762684,32.0,42.0,66.0,4.0,8.0,18.0,21.0,49.0,59.0,2.0,2010.0,0
2724,261.0,400.0,422.0,1353.0,1366.0,836.0,0.0068940604105591,711.3719482421875,0.1611134111881256,0.5259851513420901,-0.5447761194029851,111.28892608412109,-0.5229434610313602,0.0465183472984685,0.05793424,-0.1001367599999999,0.14670566,0.0006906077348066,0.5788130397761829,0.1925961967319466,-0.3023749999999999,1.9264705882352944,-0.5447761194029851,0.2041895895048666,0.2414786365818531,36.0,47.0,62.0,4.0,7.0,20.0,22.0,43.0,55.0,2.0,2010.0,0
2725,333.0,509.0,551.0,1547.0,1916.0,1221.0,0.0020622301381081,412.6864013671875,0.0659222304821014,0.4819401444788442,-0.5770020533880904,91.3834541117985,-0.3869060092860542,0.1260353704947392,0.05748537,-0.15021709,0.1791687,-0.0952986022871664,0.6065148660222685,0.2002528651250051,-0.39155,1.4645799011532126,-0.5770020533880904,0.2090403337969401,0.1286698079014135,33.0,45.0,58.0,3.0,7.0,16.0,27.0,46.0,57.0,2.0,2010.0,0
2726,317.0,483.0,522.0,1550.0,1801.0,1134.0,0.0021572960540652,327.4805908203125,0.0522946007549762,0.5034482758620691,-0.5759791122715405,88.98499268098433,-0.4343484419263457,0.1029411764705883,0.06184059,-0.14004324,0.17468129,-0.0677267373380447,0.6325686071513899,0.2074540097156964,-0.37975,1.5427444103463392,-0.5759791122715405,0.2165343165059557,0.1629726205997393,36.0,46.0,58.0,3.0,6.0,17.0,27.0,45.0,56.0,2.0,2010.0,0
2727,290.0,449.0,489.5,1473.0,1618.0,1006.0,0.0029172645881772,416.4278869628906,0.0691395252943039,0.5066900609253824,-0.5636034556069076,97.80620678337937,-0.4595497522994692,0.0860258515708937,0.0602618,-0.122520795,0.16401706,-0.0438892779944325,0.6083921064814607,0.2007717265012329,-0.349175,1.68778507571611,-0.5636034556069076,0.2111470538683038,0.1911682287737696,36.0,46.0,60.0,3.0,7.0,20.0,23.0,46.0,56.0,2.0,2010.0,0
2728,303.0,468.0,512.0,1572.0,1700.0,1057.0,0.001976856496185,314.9927673339844,0.049779649823904,0.5120240480961924,-0.5654520917678811,84.46309765032107,-0.473652225457143,0.0788492274906766,0.06658249,-0.1285008,0.17306434,-0.0354066985645932,0.6612163861285743,0.2153721354694787,-0.3712999999999999,1.6208487084870848,-0.5654520917678811,0.2251171375834161,0.1982236576503835,40.0,48.0,62.0,3.0,6.0,18.0,23.0,43.0,53.0,2.0,2010.0,0
2729,277.0,440.5,489.0,1597.0,1422.0,836.5,0.007656991481781,483.9080505371094,0.0840931236743927,0.5388760382201662,-0.5267559780789088,80.01879085764494,-0.6007498166772673,0.0055815240513591,0.07356551,-0.0972342099999999,0.168654985,0.0610561654636788,0.6859437318769115,0.222206669949395,-0.3386,1.8779760292514465,-0.5267559780789088,0.2341910628637838,0.3149455192021141,42.0,53.0,68.0,4.0,7.0,19.0,15.0,37.0,51.0,2.0,2010.0,0
2730,283.0,449.0,501.0,1720.0,1417.0,824.0,0.0069526499137282,424.4858703613281,0.0745773017406463,0.5504252733900364,-0.5140806184428494,66.9723283733627,-0.6505024165449027,-0.0258662762323084,0.0816655,-0.0939547199999999,0.17662476,0.1008094186902134,0.7508625092740835,0.2401499472841579,-0.353025,1.87513397642015,-0.5140806184428494,0.2512859724732378,0.3562672993277976,44.0,54.0,70.0,4.0,7.0,19.0,15.0,36.0,48.0,2.0,2010.0,0
2731,302.0,474.0,527.0,1692.0,1581.0,958.0,0.0056669386103749,424.3198547363281,0.0694780126214027,0.5266859743483657,-0.537712895377129,70.70610653289071,-0.5608028483146681,0.0269290523045054,0.07567364,-0.11252463,0.17983686,0.0346072825759855,0.7170133852518863,0.2307941916119088,-0.368125,1.714975845410628,-0.537712895377129,0.2411203144742383,0.2787414279951594,40.0,50.0,70.0,3.0,6.0,17.0,18.0,44.0,53.0,2.0,2010.0,0
2732,292.0,451.0,500.0,1547.0,1561.0,962.0,0.0042817257344722,432.9405212402344,0.0699848234653472,0.5119787045252884,-0.5481256332320162,87.29195054736418,-0.508076102634911,0.0554596992851861,0.06679197,-0.11436077,0.16779223,-0.0026455026455027,0.6499444621768273,0.2122566230450047,-0.3480999999999999,1.741662518666003,-0.5481256332320162,0.2231053079761566,0.2341085271317829,39.0,50.0,66.0,4.0,7.0,20.0,18.0,41.0,54.0,2.0,2010.0,0
2733,307.0,469.0,510.0,1482.0,1606.5,1014.0,0.0031757969409227,471.2833251953125,0.0812693238258361,0.487323890486468,-0.5512277714276828,97.48579754394954,-0.4433816014821119,0.0829066465642915,0.05990424,-0.12147495,0.166281635,-0.0394764803541781,0.605407465272898,0.199946784210309,-0.3420375,1.6891738041995414,-0.5512277714276828,0.2099042367962855,0.1872821238294994,36.0,47.0,62.0,4.0,7.0,22.0,20.0,45.0,57.0,2.0,2010.0,0
2734,291.0,450.0,495.0,1581.0,1555.0,947.0,0.0048385732807219,372.7079162597656,0.062524601817131,0.5222276502198339,-0.5503722084367245,82.05942907972812,-0.5314156494002154,0.0445088227548064,0.06990956,-0.11261888,0.16955295,0.0086078955179578,0.6738476420798066,0.218863361547763,-0.3535,1.7456790123456791,-0.5503722084367245,0.2298591549295774,0.2489320388349514,40.0,49.0,64.0,4.0,6.0,19.0,20.0,42.0,53.0,2.0,2010.0,0
2735,292.0,452.0,487.0,1552.0,1489.0,909.0,0.0066193472594022,495.4458923339844,0.0824534967541694,0.5245818550430816,-0.5304259634888437,85.65956149157282,-0.552620481036676,0.0292207792207791,0.06807765,-0.1065341,0.16728527,0.0292510446801671,0.6645495715527588,0.216293413917291,-0.33805,1.7935450819672132,-0.5304259634888437,0.2258997882851093,0.267481662591687,39.0,48.0,66.0,4.0,7.0,19.0,19.0,41.0,52.0,2.0,2010.0,0
2736,298.0,461.0,502.0,1638.0,1485.0,890.0,0.0050175432115793,355.4328918457031,0.061971366405487,0.5303921568627451,-0.5238095238095238,75.51136294989668,-0.5765773956844218,0.0153922542204567,0.07421039,-0.1038732699999999,0.17343333,0.0454686050108259,0.7070754747605908,0.2280473949034248,-0.3464249999999999,1.79969262295082,-0.5238095238095238,0.2380585516178736,0.2941613982893268,41.0,50.0,63.0,4.0,7.0,19.0,21.0,38.0,51.0,2.0,2010.0,0
