# crop nbart_red nbart_nir NDVI SOS POS EOS Trough vSOS vPOS vEOS LOS AOS ROG ROS
1.000000 860.177063 2529.677979 0.492499 54.000000 118.000000 294.000000 0.398856 0.526627 0.570289 0.404792 240.000000 0.171433 0.000682 -0.000940
1.000000 831.330322 2445.944336 0.492670 54.000000 118.000000 262.000000 0.396628 0.476473 0.613572 0.426596 208.000000 0.216944 0.002142 -0.001298
1.000000 911.687195 2590.952637 0.479429 54.000000 118.000000 262.000000 0.415409 0.437500 0.626174 0.442977 208.000000 0.210765 0.002948 -0.001272
1.000000 902.999756 2558.000244 0.478186 54.000000 118.000000 246.000000 0.389419 0.389419 0.623500 0.432188 192.000000 0.234080 0.003658 -0.001495
1.000000 781.082764 2486.421631 0.521909 6.000000 118.000000 342.000000 0.419779 0.500938 0.654608 0.448539 336.000000 0.234829 0.001372 -0.000920
1.000000 818.101135 2570.084717 0.517086 6.000000 118.000000 246.000000 0.432475 0.500403 0.652977 0.446929 240.000000 0.220502 0.001362 -0.001610
1.000000 1009.188477 2831.906982 0.474531 6.000000 118.000000 230.000000 0.247963 0.467259 0.632911 0.439529 224.000000 0.384949 0.001479 -0.001727
1.000000 1045.426025 2674.377930 0.437913 6.000000 118.000000 342.000000 0.367204 0.445393 0.576900 0.418356 336.000000 0.209696 0.001174 -0.000708
1.000000 895.750671 2559.277344 0.481480 6.000000 118.000000 262.000000 0.374772 0.469523 0.628391 0.404855 256.000000 0.253619 0.001418 -0.001552
1.000000 862.997742 2468.000244 0.481838 6.000000 118.000000 246.000000 0.343926 0.480025 0.650288 0.450531 240.000000 0.306362 0.001520 -0.001561
1.000000 795.666626 2700.314941 0.544811 6.000000 118.000000 342.000000 0.447281 0.562911 0.741935 0.506688 336.000000 0.294655 0.001598 -0.001050
1.000000 889.358093 2737.916016 0.509627 6.000000 118.000000 342.000000 0.413027 0.517306 0.683298 0.449885 336.000000 0.270271 0.001482 -0.001042
1.000000 920.923950 2639.235352 0.482650 6.000000 118.000000 342.000000 0.381845 0.476471 0.623056 0.441441 336.000000 0.241211 0.001309 -0.000811
1.000000 1074.767822 2773.219482 0.441387 6.000000 118.000000 342.000000 0.369279 0.456861 0.593906 0.407977 336.000000 0.224626 0.001224 -0.000830
1.000000 926.017029 2639.399902 0.480556 6.000000 118.000000 230.000000 0.394362 0.480482 0.627834 0.441263 224.000000 0.233472 0.001316 -0.001666
1.000000 909.388428 2642.257324 0.487906 6.000000 118.000000 246.000000 0.389849 0.497635 0.681744 0.430851 240.000000 0.291895 0.001644 -0.001960
1.000000 906.916931 2714.919922 0.499195 6.000000 118.000000 262.000000 0.409922 0.516495 0.704207 0.438012 256.000000 0.294285 0.001676 -0.001849
1.000000 902.553284 2627.880859 0.488701 6.000000 118.000000 262.000000 0.416392 0.531488 0.732772 0.449808 256.000000 0.316380 0.001797 -0.001965
1.000000 744.399963 2724.898438 0.570864 6.000000 118.000000 342.000000 0.428419 0.561893 0.733898 0.479137 336.000000 0.305479 0.001536 -0.001137
1.000000 854.028931 2961.012695 0.552283 6.000000 118.000000 342.000000 0.407767 0.529886 0.706417 0.458119 336.000000 0.298650 0.001576 -0.001108
1.000000 916.094177 2873.940918 0.516577 6.000000 118.000000 214.000000 0.397902 0.510752 0.721037 0.442277 208.000000 0.323136 0.001878 -0.002904
1.000000 983.556641 2804.112793 0.480653 6.000000 118.000000 214.000000 0.385293 0.496030 0.685386 0.439907 208.000000 0.300093 0.001691 -0.002557
1.000000 933.854736 2697.987793 0.485741 6.000000 118.000000 246.000000 0.396791 0.494457 0.658365 0.424473 240.000000 0.261574 0.001463 -0.001827
1.000000 997.327942 2866.468750 0.483758 6.000000 118.000000 262.000000 0.379794 0.486695 0.666667 0.418351 256.000000 0.286872 0.001607 -0.001724
1.000000 760.036987 2519.941406 0.536560 6.000000 118.000000 230.000000 0.428910 0.533332 0.720559 0.445632 224.000000 0.291649 0.001672 -0.002455
1.000000 725.414734 2400.421875 0.535859 6.000000 118.000000 262.000000 0.472081 0.585920 0.784932 0.503871 256.000000 0.312851 0.001777 -0.001952
1.000000 801.372803 2559.800781 0.523159 6.000000 118.000000 230.000000 0.396359 0.510029 0.701057 0.445022 224.000000 0.304697 0.001706 -0.002286
